symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,trade_type,exit_reason
COCHINSHIP,2026-03-06,2026-03-06,1460.729979794632,1485.6473845214844,1015,25291.165797755068,1.7058186709055896,INTRADAY,SQUARE_OFF_INTRADAY
RADICO,2026-03-11,2026-03-11,2772.1593762839734,2881.8180751953123,535,58667.403917566306,3.955714085181288,INTRADAY,SQUARE_OFF_INTRADAY
SUPREMEIND,2026-03-11,2026-03-11,3947.5763007991322,4001.62719140625,376,20323.13486827626,1.3692171218115747,INTRADAY,SQUARE_OFF_INTRADAY
MANKIND,2026-03-10,2026-03-12,2196.5699999999997,2217.8554487304687,676,14388.963341797005,0.9690312045811854,SWING,STOP_LOSS_HIT
ASTRAL,2026-03-11,2026-03-12,1684.196504183326,1671.4163804600914,882,-11272.069123892838,-0.758826163781384,SWING,STOP_LOSS_HIT
NHPC,2026-03-16,2026-03-16,75.21975848339036,74.91445365905761,19860,-6063.353811248434,-0.4058838136261323,INTRADAY,SQUARE_OFF_INTRADAY
LENSKART,2026-03-16,2026-03-16,502.40269387817375,497.7026121826172,2973,-13973.342880889619,-0.9355207989183788,INTRADAY,SQUARE_OFF_INTRADAY
AJANTPHARM,2026-03-17,2026-03-17,2962.5029135308187,2987.1935717773435,503,12419.40109800202,0.8334391211483287,INTRADAY,SQUARE_OFF_INTRADAY
LLOYDSME,2026-03-20,2026-03-20,1203.8834671743753,1242.5657963867188,1240,47966.08822330603,3.2131290334216938,INTRADAY,SQUARE_OFF_INTRADAY
BHEL,2026-03-20,2026-03-20,253.9928351190904,260.6849826660156,5878,39336.44328082657,2.634778080959439,INTRADAY,SQUARE_OFF_INTRADAY
NLCINDIA,2026-03-20,2026-03-20,262.78599999999994,265.8173060913086,5681,17220.84990472436,1.1535264783164387,INTRADAY,SQUARE_OFF_INTRADAY
BHARTIHEXA,2026-03-20,2026-03-20,1587.1369782423608,1563.7268745117187,940,-22005.497506803527,-1.474989496909526,INTRADAY,SQUARE_OFF_INTRADAY
NAM-INDIA,2026-03-25,2026-03-25,853.2640924578765,858.4878354492188,1759,9188.563921771116,0.6122070572892635,INTRADAY,SQUARE_OFF_INTRADAY
FLUOROCHEM,2026-03-25,2026-03-25,3238.4481655872178,3247.936178222656,463,4392.949850207924,0.2929802223256474,INTRADAY,SQUARE_OFF_INTRADAY
INDUSTOWER,2026-03-25,2026-03-25,417.3872573615017,411.5074585571289,3597,-21149.63629932895,-1.40871545565184,INTRADAY,SQUARE_OFF_INTRADAY
LINDEINDIA,2026-03-24,2026-03-27,6908.9833537997365,7255.13219593615,217,75114.2987436018,5.010127024637311,SWING,STOP_LOSS_HIT
LICHSGFIN,2026-03-27,2026-03-27,491.62892553879607,495.0971767578125,3067,10637.126488723457,0.7054611799367694,INTRADAY,SQUARE_OFF_INTRADAY
NATIONALUM,2026-03-30,2026-03-30,378.2893711331854,382.44585571289065,3989,16580.21698844424,1.09875796067288,INTRADAY,SQUARE_OFF_INTRADAY
THERMAX,2026-03-30,2026-03-30,3255.3812174664786,3240.9421376953123,463,-6685.293934049967,-0.44354497389413405,INTRADAY,SQUARE_OFF_INTRADAY
AUROPHARMA,2026-04-01,2026-04-01,1336.1965510253906,1339.4157756347656,1130,3637.723808593787,0.2409244812751998,INTRADAY,SQUARE_OFF_INTRADAY
GICRE,2026-04-01,2026-04-02,353.0544293265629,351.2944371564405,4277,-7527.486511613574,-0.4985044865403701,SWING,STOP_LOSS_HIT
ANTHEM,2026-04-08,2026-04-08,680.266377497707,687.5260618896484,2219,16109.239665717947,1.0671825967123976,INTRADAY,SQUARE_OFF_INTRADAY
AUROPHARMA,2026-04-08,2026-04-08,1366.7880510253906,1333.0285512695311,1104,-37270.487730468834,-2.4699879202581867,INTRADAY,SQUARE_OFF_INTRADAY
LUPIN,2026-04-08,2026-04-08,2325.44477730393,2273.030765625,649,-34016.69357962551,-2.2539349113117866,INTRADAY,SQUARE_OFF_INTRADAY
NMDC,2026-04-06,2026-04-09,78.9160403060913,82.43479847717285,19131,67317.362570961,4.458863061848202,SWING,STOP_LOSS_HIT
GVT&D,2026-04-09,2026-04-09,3763.969538124868,3893.839536621094,401,52077.869396986585,3.4503466933190023,INTRADAY,SQUARE_OFF_INTRADAY
PIIND,2026-04-09,2026-04-09,2883.7053545422414,2864.6561787109376,523,-9962.71895977185,-0.6605798266212808,INTRADAY,SQUARE_OFF_INTRADAY
LUPIN,2026-04-09,2026-04-09,2290.492680308011,2274.0214560546874,659,-10854.536782940335,-0.7191127216834754,INTRADAY,SQUARE_OFF_INTRADAY
LENSKART,2026-04-10,2026-04-10,518.5509999999999,546.4548878173828,2919,81451.4485389405,5.381126989897395,INTRADAY,SQUARE_OFF_INTRADAY
SCHAEFFLER,2026-04-10,2026-04-10,3879.7775771510624,3865.8809174804687,390,-5419.697271531518,-0.35818186466240715,INTRADAY,SQUARE_OFF_INTRADAY
SUNDARMFIN,2026-04-10,2026-04-10,4914.6617888777855,4896.81369921875,308,-5497.211614982902,-0.36316007948760254,INTRADAY,SQUARE_OFF_INTRADAY
360ONE,2026-04-15,2026-04-15,1024.0860753179843,1047.8055847167968,1485,35223.471457236614,2.3161636478112935,INTRADAY,SQUARE_OFF_INTRADAY
DABUR,2026-04-15,2026-04-15,425.96446935929293,426.8459218139648,3571,3147.666715633309,0.20693098088620127,INTRADAY,SQUARE_OFF_INTRADAY
EXIDEIND,2026-04-10,2026-04-16,312.2420751771347,324.78957430087,4849,60842.823250992435,4.01851644004643,SWING,STOP_LOSS_HIT
NLCINDIA,2026-04-16,2026-04-16,278.1820561218261,297.1545,5504,104424.33110546894,6.8201537304998325,INTRADAY,SQUARE_OFF_INTRADAY
NIACL,2026-04-10,2026-04-17,130.3295863232803,166.29433741482597,11617,417802.51343048614,27.595231525047375,SWING,STOP_LOSS_HIT
RVNL,2026-04-15,2026-04-20,277.96759247455606,297.32556384641885,5472,105926.81934683317,6.964110887723263,SWING,STOP_LOSS_HIT
POLICYBZR,2026-04-16,2026-04-21,1494.4699999999998,1578.9357756347656,1024,86492.95425000018,5.651888337321313,SWING,STOP_LOSS_HIT
3MINDIA,2026-04-22,2026-04-22,31341.204800835254,32021.15746875,51,34677.58606365203,2.1695166865334565,INTRADAY,SQUARE_OFF_INTRADAY
FLUOROCHEM,2026-04-24,2026-04-24,3337.7798892386827,3374.2991567382815,481,17565.767667307002,1.0941185072550865,INTRADAY,SQUARE_OFF_INTRADAY
OIL,2026-04-28,2026-04-28,480.2572810244038,495.1929625854492,3347,49989.7261848189,3.1099333942813128,INTRADAY,SQUARE_OFF_INTRADAY
BHARTIHEXA,2026-04-29,2026-04-29,1511.9369617992895,1507.4599951171874,1066,-4772.446483120841,-0.29610802534877256,INTRADAY,SQUARE_OFF_INTRADAY
360ONE,2026-05-04,2026-05-04,1044.1229999999998,1064.367,1544,31256.73600000022,1.938852031800865,INTRADAY,SQUARE_OFF_INTRADAY
AJANTPHARM,2026-05-04,2026-05-04,2850.8884105159736,2868.619427734375,565,10018.02472839689,0.621947079829494,INTRADAY,SQUARE_OFF_INTRADAY
GLAXO,2026-05-04,2026-05-04,2290.7146856018426,2286.9837607421873,703,-2622.8401763376482,-0.16287165237581866,INTRADAY,SQUARE_OFF_INTRADAY
ENDURANCE,2026-05-05,2026-05-05,2368.3607620424455,2333.495774902344,682,-23777.92122954934,-1.4721147089953701,INTRADAY,SQUARE_OFF_INTRADAY
HINDPETRO,2026-05-06,2026-05-06,361.51233034390526,378.8820747070312,4464,77538.53883699428,4.804744653274258,INTRADAY,SQUARE_OFF_INTRADAY
LTF,2026-05-06,2026-05-06,292.8696896058323,296.64520568847655,5510,20803.09361536971,1.289145383301913,INTRADAY,SQUARE_OFF_INTRADAY
ABCAPITAL,2026-05-05,2026-05-08,348.2416122436523,367.3638060913086,4641,88746.10164697298,5.491070904610101,SWING,STOP_LOSS_HIT
LICHSGFIN,2026-05-06,2026-05-08,551.3126502644918,567.6423042346889,2927,47796.897170766955,2.961958874399667,SWING,STOP_LOSS_HIT
LUPIN,2026-05-06,2026-05-08,2352.330689800508,2408.078664127889,686,38243.11038858347,2.3699037966515206,SWING,STOP_LOSS_HIT
INDUSTOWER,2026-05-08,2026-05-08,390.4185269611199,388.8569884643555,4203,-6563.146301900769,-0.39996526520369413,INTRADAY,SQUARE_OFF_INTRADAY
ICICIGI,2026-05-08,2026-05-08,1856.5248878240604,1817.4432783203124,883,-34509.061191809524,-2.1050948339051696,INTRADAY,SQUARE_OFF_INTRADAY
ENDURANCE,2026-05-07,2026-05-11,2372.356207094055,2490.930589626437,684,81104.87765214902,4.998169422357768,SWING,STOP_LOSS_HIT
BHARATFORG,2026-05-07,2026-05-11,1887.3360193419355,1965.1874534785757,860,66952.23335751051,4.124937654916631,SWING,STOP_LOSS_HIT
HEXT,2026-05-08,2026-05-13,469.0028061218261,484.32938781738284,3499,53627.70935275303,3.267908314300272,SWING,STOP_LOSS_HIT
NMDC,2026-05-14,2026-05-14,92.276,93.02357908630371,17959,13425.772810928438,0.8101554968829557,INTRADAY,SQUARE_OFF_INTRADAY
HINDPETRO,2026-05-13,2026-05-15,355.2168399073826,352.06989991231364,4665,-14680.475076996774,-0.8859208352536138,SWING,STOP_LOSS_HIT
PATANJALI,2026-05-15,2026-05-15,451.39268171497037,455.9341436767578,3671,16671.70686172167,1.006100042325258,INTRADAY,SQUARE_OFF_INTRADAY
SJVN,2026-05-15,2026-05-15,77.52019167072152,76.85579177856445,21375,-14201.547694857247,-0.8570668852048263,INTRADAY,SQUARE_OFF_INTRADAY
TATACOMM,2026-05-14,2026-05-18,1564.4955744113317,1649.1686563593546,1059,89668.7937829562,5.412165002760238,SWING,STOP_LOSS_HIT
AIIL,2026-05-14,2026-05-18,486.95649999999995,500.8463060913086,3403,47267.01012872326,2.8523710210888713,SWING,STOP_LOSS_HIT
IPCALAB,2026-05-14,2026-05-20,1509.2900260803035,1637.6212700195313,1097,140779.37460133285,8.502755714387776,SWING,MAX_HOLDING_DAYS
